Time,Outdoor_temp
01.01.16 00:00;0,17.81
01.01.16 01:00;0,16.14
01.01.16 02:00;0,16.1
01.01.16 03:00;0,16.1
01.01.16 04:00;0,16.16
01.01.16 05:00;0,16.26
01.01.16 06:00;0,16.36
01.01.16 07:00;0,17.02
01.01.16 08:00;0,19.02
01.01.16 09:00;0,21.38
01.01.16 10:00;0,23.51
01.01.16 11:00;0,25.24
01.01.16 12:00;0,25.74
01.01.16 13:00;0,25.7
01.01.16 14:00;0,25.7
01.01.16 15:00;0,25.7
01.01.16 16:00;0,25.7
01.01.16 17:00;0,25.51
01.01.16 18:00;0,24.9
01.01.16 19:00;0,24.1
01.01.16 20:00;0,23.3
01.01.16 21:00;0,22.5
01.01.16 22:00;0,21.64
01.01.16 23:00;0,20.8
02.01.16 00:00;0,19.5
02.01.16 01:00;0,17.77
02.01.16 02:00;0,16.04
02.01.16 03:00;0,14.84
02.01.16 04:00;0,13.94
02.01.16 05:00;0,13.16
02.01.16 06:00;0,12.46
02.01.16 07:00;0,12.32
02.01.16 08:00;0,13.15
02.01.16 09:00;0,13.91
02.01.16 10:00;0,14.41
02.01.16 11:00;0,15.16
02.01.16 12:00;0,15.62
02.01.16 13:00;0,15.7
02.01.16 14:00;0,15.64
02.01.16 15:00;0,15.41
02.01.16 16:00;1,14.99
02.01.16 17:00;1,14.24
02.01.16 18:00;0,13.4
02.01.16 19:00;0,12.6
02.01.16 20:00;0,11.8
02.01.16 21:00;0,11
02.01.16 22:00;0,10.2
02.01.16 23:00;0,9.4
03.01.16 00:00;0,9.04
03.01.16 01:00;0,8.94
03.01.16 02:00;0,8.9
03.01.16 03:00;0,8.84
03.01.16 04:00;0,8.8
03.01.16 05:00;0,8.8
03.01.16 06:00;0,8.86
03.01.16 07:00;0,9.53
03.01.16 08:00;0,11.46
03.01.16 09:00;0,14.09
03.01.16 10:00;0,16.66
03.01.16 11:00;0,18.91
03.01.16 12:00;0,20.64
03.01.16 13:00;0,21.76
03.01.16 14:00;0,22.04
03.01.16 15:00;1,21.62
03.01.16 16:00;1,20.4
03.01.16 17:00;1,18.68
03.01.16 18:00;0,17.56
03.01.16 19:00;0,16.86
03.01.16 20:00;0,16.16
03.01.16 21:00;0,15.53
03.01.16 22:00;0,14.86
03.01.16 23:00;0,14.22
04.01.16 00:00;0,13.44
04.01.16 01:00;0,12.54
04.01.16 02:00;0,11.64
04.01.16 03:00;0,10.99
04.01.16 04:00;0,10.55
04.01.16 05:00;0,10.15
04.01.16 06:00;0,9.81
04.01.16 07:00;0,9.95
04.01.16 08:00;0,11.04
04.01.16 09:00;0,12.35
04.01.16 10:00;0,13.43
04.01.16 11:00;0,14.49
04.01.16 12:00;0,15.53
04.01.16 13:00;0,16.27
04.01.16 14:00;0,16.81
04.01.16 15:00;0,16.94
04.01.16 16:00;0,16.4
04.01.16 17:00;0,15.35
04.01.16 18:00;0,14.34
04.01.16 19:00;0,13.38
04.01.16 20:00;0,12.44
04.01.16 21:00;0,11.54
04.01.16 22:00;0,10.57
04.01.16 23:00;0,9.64
05.01.16 00:00;0,8.86
05.01.16 01:00;0,8.1
05.01.16 02:00;0,7.36
05.01.16 03:00;0,6.85
05.01.16 04:00;0,6.45
05.01.16 05:00;0,6.17
05.01.16 06:00;0,5.91
05.01.16 07:00;0,6.3
05.01.16 08:00;0,8.66
05.01.16 09:00;0,11.71
05.01.16 10:00;0,14.36
05.01.16 11:00;0,16.61
05.01.16 12:00;0,18.28
05.01.16 13:00;0,19.18
05.01.16 14:00;1,19.46
05.01.16 15:00;1,18.81
05.01.16 16:00;1,17.21
05.01.16 17:00;1,15.38
05.01.16 18:00;1,14.07
05.01.16 19:00;0,13.01
05.01.16 20:00;0,11.97
05.01.16 21:00;0,10.97
05.01.16 22:00;0,9.97
05.01.16 23:00;0,8.97
06.01.16 00:00;0,7.97
06.01.16 01:00;0,6.97
06.01.16 02:00;0,5.91
06.01.16 03:00;0,5.19
06.01.16 04:00;0,4.62
06.01.16 05:00;0,4.15
06.01.16 06:00;0,3.75
06.01.16 07:00;0,4.04
06.01.16 08:00;0,6.3
06.01.16 09:00;0,9.25
06.01.16 10:00;0,11.8
06.01.16 11:00;0,13.89
06.01.16 12:00;0,15.41
